product_name,rent_price,url_photo,link,renters,description
Baju kostum santa claus pakaian natal christmas costume costum set,Rp153.688,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/20/254b6a1d-9982-4c72-b667-084c1d5e0562.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yOHAKRo_nfbm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_rhopKRHpnFoaFiy3zwrfo5rM1i6sUfHidNoAjhHAUdHpH7opnpoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqBJa_92-P7OE1_-o8jBR_92zHjONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq12D3uzgPOBWz9Boq_CN_s-VP7h11_uouJB7_OPu81Y_H3xg8MHF_MOgHOBEgpoquJu2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1B2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2-P1Y11_uouJVN_7zo8jNJyRPo8BB2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2gP1Okz_-6qjBd_7zVH7OE_9xve7tNUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiZVjRzVu7g9BVzOgHe9P5z7Vjupoc_jKFQsPUzuV2y7FOe1uxoStNrBBEQpB1PcByq1W3z1YwgcomuVgVujBCq3zyr7z-_9P76IJO3JUf1sKRe3xwQ1VqzSPFoVrOo9z2uIgtrSPEg91dZAoVQcWm3jx9_fVhuc-VHfxduc7f8MFibm-xQcri6i-tg3VjQcBXguYXqRzwrfx5rcVj9fVDQVYFrMYjP3o7raUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-xyBY7g9o7Usti_iUDUSgBrSo2Qfdi6i-fHiUDUSCaq3oB9f-2gmUEHsKFHACY?r=https%3A%2F%2Fwww.tokopedia.com%2Fterriberribaby%2Fbaju-kostum-santa-claus-pakaian-natal-christmas-costume-costum-set-perempuan-xxs&src=search&page=1&uid=0&keyword_correction=pakaian+cosplay&product_id=6990315443&is_search=1&cpm_template_req=3&template_id_used=3&click_ad_type=2&dv=desktop&t=desktop&keywords=pakaian+cosplay,terri berri baby,"Kostum kami diimpor langsung dari luar negeri. Size: XXS,XS,S,M,L,XL,XXL3XL Unit: CM (1inch=2.54cm) (suitable for 90 -160 cm ) Anak-anak: XXS (90):suitable for 80 - 90 cm height ( umumnya 1-2 tahun )  XS(100) : suitable for 90 - 100 cm height ( umumnya 2-3 tahun )  S(110): suitable for 100-110cm height ( umumnya 3-5 tahun )  M(120): suitable for 110-120cm height ( umumnya 5-6 tahun )  L(130): suitable for 120-130cm height (umumnya 7-8 tahun )  XL(140): suitable for 130-140cm height (umumnya 9-10 tahun)  2XL(150): suitable for 140-150cm height ( umumnya 11-12 tahun )  3XL (160): suitable for 150-160cm height ( umumnya 13-14 tahun )  Bahan : berudu.  Include : baju, jubah, dan topi. Kami juga memliki kostum santa dewasa, berikut linknya : https://www.tokopedia.com/terriberribaby/baju-kostum-santa-claus-pakaian-natal-christmas-costume-costum-set-e58b Untuk pengukuran, bisa dilakukan tanpa alat pengukur . Berikut tahapnya : 1. Siapkan penggaris SD dan baju anak anda, 2. Lalu, ukur baju anak anda menggunakan penggaris tersebut 😊  Happy shopping ;)"
Baju kostum santa claus pakaian natal christmas costume costum set,Rp108.500,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/17/b56ad26a-ec69-4906-a2ae-00cd26a02be7.png,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yOHAKRo_nfbm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_rhopKRHpnFoaFiy3zwrfo5rM1i6sUfHidNoAjhHAUdHpH7opnpoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqBJa_92-P7OE1_-o8jBR_92zHjONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq12D3uzgPOBWz9Boq_CN_s-VP7h11_uouJB7_OPu81Y_H3xg8MHF_MOgHOBEgpoquJu2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1B2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2-P1Y11_uouJVN_7zo8jNJyRPo8BB2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2gP1Okz_-6qjBd_7zVH7OE_9xve7tNUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiZVjRzVu7g9BVzOgHe9P5z7Vjupoc_jKFQsPUzuV2y7FOe1uxoStNrBBEQpB1PcByq1W3z1YwgcomuVgVujBCq3zyr7z-_9P76IJO3JUf1sKRe3xwQ1VqzSPFoVrOo9z2uIgtrSPEg91dZAoVQcWm3jx9_fVhuc-VHfxduc7f8MFibm-xQcri6i-tg3VjQcBXguYXqRzwrfx5rcVj9fVDQVYFrMYjP3o7raUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-xyBY7g9o7Usti_iUDUSgBrSo2Qfdi6i-fHiUDUSCaq3oB9f-2gmUEHsKFHACY?src=search&keywords=pakaian+cosplay&dv=desktop&t=desktop&keyword_correction=pakaian+cosplay&click_ad_type=2&uid=0&page=1&product_id=6990502347&r=https%3A%2F%2Fwww.tokopedia.com%2Fterriberribaby%2Fbaju-kostum-santa-claus-pakaian-natal-christmas-costume-costum-set-wanita&is_search=1&cpm_template_req=3&template_id_used=3,terri berri baby,"Kostum kami diimpor langsung dari luar negeri. Unit: CM (1inch=2.54cm) Karena pencahayaan warna produk mungkin berbeda dari aslinya Kami juga memiliki produk santa anak, berikut linknya : https://www.tokopedia.com/terriberribaby/baju-kostum-santa-claus-christmas-anak-perempuan https://www.tokopedia.com/terriberribaby/baju-kostum-santa-claus-christmas-anak-laki-laki-santa-claus-costume Bahan : kain flanel Include : baju, celana, belt, jenggot, dan topi (untuk pria) Include : dress, belt, dan topi (untuk Wanita) Untuk pengukuran, bisa dilakukan tanpa alat pengukur . Berikut tahapnya : 1. Siapkan penggaris SD dan baju anak anda, 2. Lalu, ukur baju anak anda menggunakan penggaris tersebut 😊  Happy shopping ;)"
5pcs/Set Mainan Kostum Anak Bajak Laut Halloween Kostum Bajak Laut Anak Pakaian Baju Cosplay Hallowen Party Topi Bajak Laut / Penutup Mata / Sarung Tangan / Tas,Rp65.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/6/ac6cfb20-056f-4554-a22d-772ed1898b78.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUhosHOo_e7bm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdopHFHA1DUMoFyaUEo_1Fbm-FQRo2PcB5QiUEHZFiy3hSUstirRzW9fFaQcYR9fFhQcYRUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3prdbAUfos1DHsydoO7DUMNwyfVXgcBjy9zB9fVjraUEHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHp1absHF6A1Fos1fHsUNbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81hkqpCouJ1p_M2zH7OJu_zvzJBE_Bo-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z_ooz7uN332VHjONHA-ouJgk_VzzH17aZ9zgQuBN_7HhQ1NEe9BvuJud_S2jqO29Z3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjx6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BRZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_320P7hk39Pozcrh_uzoHJNkqp-68j1hZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sHaosrDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdHsJibmUpHAeaUiFiHsydomUDUsHpHAKi9ZFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-FrMBsguYiq3ei6s1OHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUst7HArXHAHpH_jd6_H7H_y7HiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdp6Aj7HpjhHsehosUd6AKhwe?pub_unit=0&page=1&t=desktop&src=search&management_type=1&pub_domain=0&r_replacement=new&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Ftokohanako%2F5pcs-set-mainan-kostum-anak-bajak-laut-halloween-kostum-bajak-laut-anak-pakaian-baju-cosplay-hallowen-party-topi-bajak-laut-penutup-mata-sarung-tangan-tas%3FextParam%3Divf%253Dtrue%26src%3Dtopads&ob=23&dv=desktop&pub_id=0&keywords=pakaian+cosplay,Toko Hanako,"💖💖Hi, Selamat datang di Toko Hanako! ✨✨ 📌Kami adalah toko kecil yang menyediakan berbagai jenis kebutuhan sehari-hari.  📌Dapatkan produk berkualitas dengan harga terjangkau. Jangan lupa untuk mengikuti dan mendukung toko kami, karena kami selalu memberikan penawaran dan promo menarik bagi pelanggan setia.  📌Segera ikuti kami dan nikmati kesempatan mendapatkan special offers dan diskon eksklusif. Terima kasih! 🌸🌸🌸🌸🌸 ★Fitur★ Kostum Anak Kostum Halloween Bajak Laut Cosplay Fancy Dress Kit. Terbuat dari kain bukan tenunan, nyaman dipakai. Aksesori kostum bajak laut untuk dandanan bajak laut, termasuk rompi, topi, penutup mata, pengait bajak laut, dan tas. Set ekonomi yang sempurna untuk pesta bertema bajak laut, pesta Halloween, pesta ulang tahun anak-anak, permainan berburu harta karun, permainan peran bajak laut, dll. Dilengkapi dengan tas penyimpanan, hadiah cosplay yang sempurna untuk anak laki-laki dan perempuan.   ★Spesifikasi★ Bahan: Kain bukan tenunan Warna: Hitam (seperti yang ditunjukkan gambar) Ukuran: Rompi (P x L): sekitar 40 x 39,5 cm / 16 x 15,8 inci Tas (P x L): sekitar 22 x 17cm / 8,8 x 6,8 inci ★Paket Termasuk★ 1 x Rompi, 1x Topi, 1x Penutup Mata, 1x Pengait Bajak Laut, 1x Tas 🌸🌸🌸🌸🌸 ★1. Due to the difference between different monitors, the picture may not reflect the actual color of the item. ★ 2. Please allow slight dimension difference due to different manual measurement. Thank you for your understanding. Umpan balik: ★ 3. Silakan tinggalkan umpan balik 5 bintang jika anda puas dengan produk dan layanan kami, kami akan menghargainya (barang seperti yang dijelaskan 5 bintang, komunikasi 5 bintang, waktu Pengiriman 5 bintang). ★ 4. Jika produk yang Anda terima rusak atau salah tipe, tolong jangan meninggalkan tanggapan negatif terlebih dahulu, silakan hubungi kami, kami akan menanganinya dan mencari solusi terbaik, kepuasan anda adalah motivasi kami untuk melakukan yang lebih baik di masa depan. 💙💚💛💜 Terima kasih atas pengertiannya, HAPPY SHOPING 💜💛💚💙"
"PAKAIAN BAJU TIDUR BONEKA ONESIE UNICORN DEWASA BINATANG PIAMA COSPLAY - GALAXY, S",Rp164.800,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/17/4264e82c-393d-4a48-98c6-f3443cead888.png,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsJpopKRopJabm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdopHFHA1DUMoFyaUEo_nFbm-FQRo2PcB5QiUEHiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3p1ObAHa6AHDHpHF6V7DUMNwyfVXgcBjy9zB9fVjraUEHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHpHFbsUF6_17o_JhopKpoA1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkyRPguJ22_uzg8jh139xou7O7_jzu8BB2H3Bqqjj7_VPgH7OJZ_uouJ1p_s-ZQVB2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRBizpjpgjxdr7O98IgjHRKdyjz6gjOE_9PvZIKdypoZPcgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2-P1OEyRB6ucHF_jzu8jOkz9B6q1tNUiFiyfhOrRzBrBY2gVYfHiUEH_n7osHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdHsJibmUpHAeaUiFiHsydomUDUsHpHAKi9ZFirI-2yfuwyMBjUstOHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEHp17bsnho_naHpjaosJpH_eDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXH_UposeFH_Up6_rdoAyRHpPY?management_type=1&t=desktop&pub_id=0&pub_unit=0&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fterriberribaby%2Fpakaian-baju-tidur-boneka-onesie-unicorn-dewasa-binatang-piama-cosplay-galaxy-s-bcae3%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=pakaian+cosplay&page=1&src=search&dv=desktop&is_search=1&pub_domain=0,terri berri baby,"Kostum kami diimpor langsung dari negeri. Semua kostum kami juga ready stock. Size: S, M, L, XL S : Panjang baju : 126 cm, Lingkar dada : 104 cm, Tinggi badan 145 – 155 cm. M : Panjang baju : 136 cm, Lingkar dada : 110 cm, Tinggi badan 155 – 165 cm. L : Panjang baju : 152 cm, Lingkar dada : 114 cm, Tinggi badan 165 – 175 cm. XL : Panjang baju : 160 cm, Lingkar dada : 120cm, Tinggi badan 175 – 190 cm. Kami juga memiliki beberapa varian onesie lainnya untuk anak dan dewasa, Anak : Hello kitty, unicorn, baby shark, spiderman, tiger, cat, pikachu sapi, stitch dan dino. Dewasa :  Sapi, dino, pikachu, stitch, baby shark, dan 3-eyed alien. Berikut linknya : Dino anak dan dewasa : https://www.tokopedia.com/terriberribaby/onesie-kostum-dino-costum-dinosaurs-costume-dinosaur-baju-boneka-anak Pikachu anak dan dewasa : https://www.tokopedia.com/terriberribaby/baju-kostum-onesie-pikachu-dewasa-one-sie-pokemon-kigurumi-pikacu Stitch biru dan pink anak dan dewasa : https://www.tokopedia.com/terriberribaby/onesie-kostum-stitch-costum-stich-costume-lilo-baju-boneka-piyama-anak Sapi anak dan dewasa : https://www.tokopedia.com/terriberribaby/onesie-kostum-sapi-costum-cow-costume-animal-baju-boneka-binatang-anak-120 Untuk link lainnya silahkan chat ke admin kami Untuk size chart, silahkan lihat gambar terkakhir 🙏. Bagian ujung lengan dan kaki terdapat karet yg dapat diserut jika terlalu panjang. Foto tidak 100% sama dengan barang, dikeranakan faktor pencahayaan. Untuk pengukuran, bisa dilakukan tanpa alat pengukur . Berikut tahapnya : 1. Siapkan penggaris SD dan baju anak anda, 2. Lalu, ukur baju anak anda menggunakan penggaris tersebut 😊"
S-XXL. pakaian fashion baju adidog anjing kucing. dog cat cloth costum,Rp45.000,https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/29/809827324/809827324_c47022fd-c4cd-46f8-80c3-059678ddc2a3_2048_2048.jpg,https://www.tokopedia.com/pao-onlinestore/s-xxl-pakaian-fashion-baju-adidog-anjing-kucing-dog-cat-cloth-costum-babypink-l-412a9?extParam=ivf%3Dfalse%26src%3Dsearch,MaBaby_,"✨ Baby Cute DRESS ✨ BABY CUTE DRESS !! 100% IMPORTED!! VERY RECOMENDED!, 100 % REAL PICTURE, FOTO ASLI :) PENTING!! DRESS NYATU DENGAN DALAMAN BUKAN TERPISAH! Detail ukuran :  size M       : LD 26 cm, PD 45 cm (6-12 Bulan) size L        : LD 28 cm, PD 46 cm (1-2 TH) size XL     : LD 30 cm, PD 52 cm (2-3 TH) size XXL  : LD 31 cm, PD 53 cm (3-4 TH) LD= Lebar Dada PD= Panjang Dress KETENTUAN TOKO YANG HARUS DISEPAKATI SEBELUM MEMBELI TOLERANSI SIZE +- 2CM. Pastikan ukuran sebelum membeli, usia hanya estimasi tidak dapat menjadi patokan. Untuk setiap produk yg kekecilan / kebesaran TIDAK DAPAT DITUKAR / DIKEMBALIKAN MEMBELI = SUDAH MEMBACA= SETUJU :) 100% real picture,, untuk kisaran 1-6 thn (mohon langsung dicocokan dengan ukuran cm nya) #dressanak #dressbayi #bajuanak #dressimportanak #dasteranak #bajubayi #gaunbayi"
Anak Laki-laki Polisi Tentara Cosplay Pakaian Set/ Baju Polisi Anak,Rp97.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/27/4ca4fd92-c4da-472c-9c8c-e1209d8e475b.jpg,https://www.tokopedia.com/aleshapocil/anak-laki-laki-polisi-tentara-cosplay-pakaian-set-baju-polisi-anak-perempuan-celan-xxl?extParam=ivf%3Dfalse%26src%3Dsearch,Smile-Seller,"🔵Spesifikasi： Warna : Merah S (Height 156-163 cm) = Length:106, Bust:106, Sleeve:56 📦Isi Paket： 1 x Jubah"
lingerie sexy cosplay pakaian dalam set bra + cd celana dalam bordir,Rp55.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/4/b69d8e26-2b3f-4ec5-8311-c0b52b161130.jpg,https://www.tokopedia.com/al-fa-riz-1/lingerie-sexy-cosplay-pakaian-dalam-set-bra-cd-celana-dalam-bordir?extParam=ivf%3Dfalse%26src%3Dsearch,PlazaKota Official,"L0038 Kostum Wanita Cosplay Bajak Laut Seragam Pelaut Sailor Biru Warna: Biru Ukuran: Satu Ukuran Muat S sampai L Lingkar Dada: 70-90 cm Motif: Polos Bahan: 92% Poliester, 8% Spandeks (Jaring Elastis) Kualitas: Tinggi (High Quality) Isi: - Baju - G-String Kemasan Paket: Kemasan paket menggunakan amplop coklat yang rapat dilapisi plastik untuk ukuran kecil/medium dan plastik hitam untuk ukuran besar. * Privasi Paket, Jadwal Kirim dan Komplain harap baca Catatan Toko."
Pakaian hewan anjing kucing peliharaan bulu dinosaurus costum cat dog,Rp48.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/7/9a927074-f6da-47b6-a9b3-d6aec5a8711b.jpg,https://www.tokopedia.com/kenzoacc/pakaian-hewan-anjing-kucing-peliharaan-bulu-dinosaurus-costum-cat-dog-s?extParam=ivf%3Dfalse%26src%3Dsearch,Bevio Fashion & Kids,"Kostum anak SPIDERMAN NO WAY HOME Impor Ready Stock, penjual Indonesia, Tidak PO (tidak dikirim dari luar negri) Model untuk anak foto ke 2, dewasa dan anak XXL foto ke 3-5 ANAK: * Ukuran S (bahan stretch/melar): - Lebar Dada 26cm - Panjang pundak ke ujung jari kaki: 91 centimeter Perkiraan untuk tinggi anak 90-100cm (umur anak 2-3 tahun) * Ukuran M (bahan stretch/melar): - Lebar Dada 29cm - Panjang pundak ke ujung jari kaki: 104 centimeter Perkiraan untuk tinggi anak 100-110cm (umur anak 4-5 tahun) * Ukuran L (bahan stretch/melar): - Lebar Dada 32cm - Panjang pundak ke ujung jari kaki: 109 centimeter Perkiraan untuk tinggi anak 110-120cm (umur anak 6-7 tahun) * Ukuran XL (bahan stretch/melar): - Lebar Dada 34cm - Panjang pundak ke ujung jari kaki: 116 centimeter Perkiraan untuk tinggi anak 120-130cm (umur anak 8-9 tahun) * Ukuran XXL (bahan stretch/melar): - Lebar Dada 39cm - Panjang pundak ke ujung jari kaki: 142 centimeter Perkiraan untuk tinggi anak 135-150cm (umur anak 10tahun keatas) DEWASA: * Ukuran S (bahan stretch/melar): - Lebar Dada 41cm - Panjang pundak ke ujung jari kaki: 152 centimeter Perkiraan untuk tinggi 150-160cm * Ukuran M (bahan stretch/melar): - Lebar Dada 44cm - Panjang pundak ke ujung jari kaki: 162 centimeter Perkiraan untuk tinggi 160-165cm * Ukuran L (bahan stretch/melar): - Lebar Dada 47cm - Panjang pundak ke ujung jari kaki: 174 centimeter Perkiraan untuk tinggi 165-175cm Toleransi 1-3cm, umur hanya perkiraan, harap diukur terlebih dahulu Lebar diukur dari ketiak kiri ke kanan Keterangan: - Jumpsuit, atas bawah menyatu, alas kaki menyatu. tertutup semua sampai jari kaki - topeng terpisah kualitas bagus - Bagian belakang sistem resleting - ada resleting depan, untuk buang air kecil (tidak harus buka seluruh kostum) - bahan spandex (seperti bahan baju renang) stretch, dan polyester premium kualitas bagus - Nyaman tidak panas - Ukuran Anak S, M , L, XL, Dewasa S M L Terima Kasih ^_^"
LEMARI PAKAIAN COSTUM,Rp100.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/24/085f9205-5f8b-4b53-96bf-2fc7a58ccb98.jpg,https://www.tokopedia.com/araadexor/lemari-pakaian-costum-10-8a62b?extParam=ivf%3Dfalse%26src%3Dsearch,PlazaKota Official,"L0733 Kostum Wanita Cosplay Suster Perawat Dokter Nurse Transparan Warna: Putih Ukuran: Satu Ukuran Muat S sampai L Lingkar Dada: 70-90 cm Motif: Polos Bahan: 93% Poliester, 7% Spandeks (Jaring Elastis, Renda) Kualitas: Tinggi (High Quality) Isi: - Baju (Belah Belakang) - G-String - Topi - Gelang Wristband Kemasan Paket: Kemasan paket menggunakan amplop coklat yang rapat dilapisi plastik untuk ukuran kecil/medium dan plastik hitam untuk ukuran besar. * Privasi Paket, Jadwal Kirim dan Komplain harap baca Catatan Toko."
Costume Kuntilanak Kostum Sadako Hantu Wanita Seram Setan Pakaian,Rp221.315,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/10/18e50207-49c7-41d9-b807-3ee7c8cb4633.jpg,https://www.tokopedia.com/lameil/costume-kuntilanak-kostum-sadako-hantu-wanita-seram-setan-pakaian?extParam=ivf%3Dfalse%26src%3Dsearch,terri berri baby,"Kostum kami diimpor langsung dari negeri. Semua kostum kami juga ready stock. Size: S, M, L, XL S : Panjang baju : 126 cm, Lingkar dada : 104 cm, Tinggi badan 145 – 155 cm. M : Panjang baju : 136 cm, Lingkar dada : 110 cm, Tinggi badan 155 – 165 cm. L : Panjang baju : 152 cm, Lingkar dada : 114 cm, Tinggi badan 165 – 175 cm. XL : Panjang baju : 160 cm, Lingkar dada : 120cm, Tinggi badan 175 – 190 cm. Kami juga memiliki beberapa varian onesie lainnya untuk anak dan dewasa, Anak : Hello kitty, unicorn, baby shark, spiderman, tiger, cat, pikachu sapi, stitch dan dino. Dewasa :  Sapi, dino, pikachu, stitch, baby shark, dan 3-eyed alien. Berikut linknya : Dino anak dan dewasa : https://www.tokopedia.com/terriberribaby/onesie-kostum-dino-costum-dinosaurs-costume-dinosaur-baju-boneka-anak Pikachu anak dan dewasa : https://www.tokopedia.com/terriberribaby/baju-kostum-onesie-pikachu-dewasa-one-sie-pokemon-kigurumi-pikacu Stitch biru dan pink anak dan dewasa : https://www.tokopedia.com/terriberribaby/onesie-kostum-stitch-costum-stich-costume-lilo-baju-boneka-piyama-anak Sapi anak dan dewasa : https://www.tokopedia.com/terriberribaby/onesie-kostum-sapi-costum-cow-costume-animal-baju-boneka-binatang-anak-120 Untuk link lainnya silahkan chat ke admin kami Untuk size chart, silahkan lihat gambar terkakhir 🙏. Bagian ujung lengan dan kaki terdapat karet yg dapat diserut jika terlalu panjang. Foto tidak 100% sama dengan barang, dikeranakan faktor pencahayaan. Untuk pengukuran, bisa dilakukan tanpa alat pengukur . Berikut tahapnya : 1. Siapkan penggaris SD dan baju anak anda, 2. Lalu, ukur baju anak anda menggunakan penggaris tersebut 😊"
