product_name,rent_price,seller,img_url,desc,link
Rak sepatu modern industrial/Rak sepatu costum/Rak sepatu besi hollow,Rp498.000,bengkellas doa ibu,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/26/9f95e900-9413-4b03-a571-08428f161628.jpg.webp?ect=4g,"hallo assalamualaikum kak, tolong dibaca dulu ya kak. Rak sepatu modern industrial, dengan bahan besi hollow kombinasi kawat expanda dan kayu , finishing besi cat Duco dan kayu finishing tacoshett. ukuran PxLxT 70*30*45 bisa costum ukuran dan model ,untuk info costum bisa langsung hubungi admin melalui fitur chat ,atau wa di 0895323041207. terimakasih ",https://www.tokopedia.com/lancarjayastell/rak-sepatu-modern-industrial-rak-sepatu-costum-rak-sepatu-besi-hollow?extParam=ivf%3Dfalse%26src%3Dsearch
"SANDAL SEPATU KOSTUM ONESIE COSPLAY PIYAMA DINO UNICORN STITCH TOTORO - Biru, S",Rp69.900,Republik Boneka,https://images.tokopedia.net/img/cache/500-square/product-1/2019/9/5/21213452/21213452_2dd6e06b-0474-4a9b-af27-30ac7640b730_1280_1280.webp?ect=4g,"SEPATU KHUSUS UNTUK KOSTUM ONESIE COSPLAY Tersedia 6 warna: pink, biru, hijau, kuning, hitam, dan abu-abu Tersedia 3 size: size S: khusus size ANAK panjang kaki +/-22cm (dalam satuan CM centimer untuk size anak) size M: khusus size DEWASA free size untuk kaki 32-38 (ukuran sepatu pada umumnya bukan CM) size L: khusus size DEWASA free size untuk kaki 39-44 (ukuran sepatu pada umumnya bukan CM) Sepatu Impor Bahan Lembut Kualitas Terjamin",https://www.tokopedia.com/republikboneka/sandal-sepatu-kostum-onesie-cosplay-piyama-dino-unicorn-stitch-totoro-biru-s?extParam=ivf%3Dfalse%26src%3Dsearch
Sepatu Ninja Naruto Cosplay Kostum - 35,Rp195.000,MyHobbyTown,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/8/28e88217-3268-4391-af1c-02a3a92eb517.jpg.webp?ect=4g,"Material : Sponge dan flanel Tersedia 11 size : - Size 35 : panjang alas = 24 cm - Size 36 : panjang alas = 24,5 cm - Size 37 : panjang alas = 25 cm - Size 38 : panjang alas = 25,5 cm - Size 39 : panjang alas = 26 cm - Size 40 : panjang alas = 26,5 cm - Size 41 : panjang alas = 27 cm - Size 42 : panjang alas = 27,5 cm - Size 43 : panjang alas = 28 cm - Size 44 : panjang alas = 28,5 cm - Size 45 : panjang alas = 29 cm !! TERDAPAT JAHITAN KAIN di sekeliling alas sepatu sekitar 0.5 cm !! Mohon mengkonfirmasi ketersediaan barang sebelum membeli ya. Barang yang sudah dibeli tidak dapat ditukar / dikembalikan.",https://www.tokopedia.com/myhobbytown/sepatu-ninja-naruto-cosplay-kostum-35-f0acd?extParam=ivf%3Dfalse%26src%3Dsearch
KOIMONO Furina Focalors Genshin Impact Default Cosplay Set Wig + Shoes - Sepatu Uk.38,Rp369.000,KOIMONO,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/2/20/d8987ae9-fe62-4d9c-b0ed-1b5958667cad.jpg.webp?ect=4g,"💗 KOIMONO Furina Focalors Genshin Impact Default Cosplay Set Include Wig and Shoes 💗 👗 Deskripsi Produk ✅ Ukuran:  Kostum S, M & L  Sepatu 37, 38 & 39 ✅ Detil Size: Mohon lihat pada gambar slide ke 5 ✅ Isi paket:  -Dapat lihat pada gambar sesuai varian 📦 Packaging KOIMONO menggunakan packing standard [dus/pouch/bubble wrap] sesuai standar pengiriman jasa ekspedisi. Jika ingin paket kalian lebih aman, KOIMONO memberikan opsi packing tambahan berupa [dus/bubble wrap extra]. https://www.tokopedia.com/koimono/koimono-packing-tambahan-bubble-wrap-dus 💝 Gift for your loved ones Membelikan kado untuk seseorang yang spesial? KOIMONO menyediakan packing kado lengkap dengan kartu ucapan yang akan kami isi dengan pesan singkat kalian, untuk memudahkan kalian memberikan surprise untuk dia yang tercinta. https://www.tokopedia.com/koimono/koimono-packing-gift-box-gift-wrap-bungkus-kado-for-lingerie-c535c 🚚 Pengiriman KOIMONO open order 24/7, order yang masuk sebelum jam 1 siang akan diproses di hari yang sama 🤗 Selebihnya akan diproses dan dikirimkan di hari berikutnya (kecuali hari Minggu dan tanggal merah).",https://www.tokopedia.com/koimono/koimono-furina-focalors-genshin-impact-default-cosplay-set-wig-shoes-sepatu-uk-38-10722?extParam=ivf%3Dfalse%26src%3Dsearch
REAEDY SEPATU SNEAKERS COSTUM MOTIF BATIK LOW CASUAL 111,Rp200.000,GrosirSpreiTanahabang,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/10/27/78db1c7f-c2e2-4869-afb2-2a4f66ce0a69.png.webp?ect=4g,"R E A D Y    S T O K !!!  BACA SEBELUM ORDER C0NVS 70S BATIK  GLOSSY ___________________ Model    : ONE PIECE Kualitas : PREMIUM QUALITY  Made In : VIETNAM (good quality)  Size        : 37 - 43 ___________________ PANDUAN SIZE        37 INSOLE 23CM       38 INSOLE 24CM       39 INSOLE 25CM       40 INSOLE 26CM       41 INSOLE 27CM       42 INSOLE 28CM       43 INSOLE 29CM ___________________ Note:  Mengapa Belanja Di Kami?  1. Kami memberikan harga terbaik dengan kualitas sepatu yang sangat baik dan tidak mudah rusak  2.100% Garansi barang sama dengan foto, kalau tidak kita ganti 3x lipat 3. Respon sangat baik dan cepat 4. Kami Membuka Peluang Untuk Menjadi RESELLER DROPSHIP Silahkan Chat Kami Dan Dapatkan DISKON Harga Termurah",https://www.tokopedia.com/spreitanahabang/reaedy-sepatu-sneakers-costum-motif-batik-low-casual-111?extParam=ivf%3Dfalse%26src%3Dsearch
READY Sangonomiya Kokomi Wig Costume Shoes Genshin Impact,Rp2.470.000,Celestine_Shoppu,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/13/24f9eac5-11a0-4087-8f33-ff4df47b85b6.jpg.webp?ect=4g,Kokomi fullset Kostum printed & bordir Sepatu kulit  Wig styled stoking Bisa beli fullset atau terpisah Ukuran S-L. harap konfirm untuk sz XL n XXL Karakter lain bisa request ya❤ Ada promo diskon jika pembelian grup,https://www.tokopedia.com/celestineshoppu/ready-sangonomiya-kokomi-wig-costume-shoes-genshin-impact?extParam=ivf%3Dfalse%26src%3Dsearch
READY Rimuru Tempest Wig Costume Shoes Cosplay,Rp2.225.000,Celestine_Shoppu,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/19/f22ca50b-1c42-45a6-b094-473e415195d9.jpg.webp?ect=4g,Rimuru fullset Termasuk Kostum Wig Styled Boots Harga tersebut untuk ukuran S-L. Jika XL n XXL harap konfirm dahulu. Bisa request Custom karakter lain juga💙,https://www.tokopedia.com/celestineshoppu/ready-rimuru-tempest-wig-costume-shoes-cosplay?extParam=ivf%3Dfalse%26src%3Dsearch
Costume national sepatu hitam kulit italy UK 8.5 / US9.5 / EUR 43,Rp500.000,audiophiliac,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/2/22/73735d8b-c71a-403c-8f38-cda3f63c3b89.jpg.webp?ect=4g,Made in italy costume national UK8.5  Length: 11.5cm,https://www.tokopedia.com/audiophiliac/costume-national-sepatu-hitam-kulit-italy-uk-8-5-us9-5-eur-43?extParam=ivf%3Dfalse%26src%3Dsearch
Joker Persona 5 Wig shoes acc fullset cosplay costume,Rp3.000.000,Celestine_Shoppu,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/3/4/a4340679-ed49-4dba-85a7-64c035d8bbc4.jpg.webp?ect=4g,FULLSET semua yang digambar. Bisa beli terpisah Ukuran bisa request yaaa,https://www.tokopedia.com/celestineshoppu/joker-persona-5-wig-shoes-acc-fullset-cosplay-costume?extParam=ivf%3Dfalse%26src%3Dsearch
Japan Japanese JK School Uniform Uwabaki Shoes Indoor Shoes Cosplay,Rp600.000,taupikjeri,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/1/2/84d903a1-1967-49b3-a745-18f8f36423d9.jpg.webp?ect=4g,"Source Type : anime  Source : Other  Characters : Chikane Himemiya  Gender : Unisex  Origin : DE(Origin)  Special Use : Costumes  Department Name : Children,Adult  5 Colors Japan Japanese JK School Uniform Uwabaki Shoes Indoor Shoes Cosplay Flat For Lolita Sweet Girls Comfortable Sports Gym This is a pair of high quality Japan Uniform Shoes. The bottom is soft and comfortable to wear. Material: Sole: Rubber Upper: Canvas Package: Bag and box package Size Chart (this is the Asia size, please select according to shoes Length)",https://www.tokopedia.com/taupikjeri/japan-japanese-jk-school-uniform-uwabaki-shoes-indoor-shoes-cosplay?extParam=ivf%3Dfalse%26src%3Dsearch
