product_name,rent_price,seller,img_url,desc,link
Aonijie Gaiter E4417 - Pelindung Kaki Sepatu - Trail Running - GREEN - M,Rp160.000,Aonijie Indonesia,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/3/8/415135e3-4e98-47fb-8a00-7aa3825c77db.jpg.webp?ect=4g,"Tipe : E4417 Color : GREEN Size: M size: fit for 36-40 shoe size L size: fit for 41- 45 shoe size # Harga adalah harga sepasang Brand: aonijie Model: e4417 Color: red, blue, green Weight: about 54g Fabric: 79% polyester, 21% spandex Package Content: 1 pair Running Gaiters",https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoArNosURosyDUMVj9RzNrc1i6sHDUSC5rfB7q3YXUsthbm-7q3OBUsthopJfopJN6AUObm-xgVYpyfYagZUEHsypbsHdopj7H_1RopJF6Ajfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_Z9o-Q1dFyfFN8B29zSBgHMP2_fB-HJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjuN3M2CHB2Ju_oHuJJO3BzzPJNJ__zg1pVt3jzzHJh1Z_VqzJN0_7zZqO2W3MOo17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_9j78jYJypu6zJ1h_S2s8JOJgpu6q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjp_Sj7HjN11_C6qjOd_Bz0P7NEZ_C-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti8jURu1odquoRu1B_b9z9u9tRg7VH_RPc_fdWHOBhqJY3eMPuQuCZ1M2wrpo6qsud9OuMo7udepC3P7BxQ9efz1NM_R-Bu7hvZurF8_uNq7BHo7FdZ7VXeRe7zJud_uujQVYAuSoMHf4Wb1W919Kf97BjqJNqQO-D97os3_-S8cUibm-xQcri6i-tg3VjQcBXguYXqRzwrfx5rcVj9fVDQVYFrMYjP3o7raUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-xyBY7g9o7Usti_iUDUSgBrSo2Qfdi6i-fHiUDUSCaq3oB9f-2gmUEHseFHACY?uid=0&keywords=gaiter&keyword_correction=gaiter&r=https%3A%2F%2Fwww.tokopedia.com%2Faonijie%2Faonijie-gaiter-e4417-pelindung-kaki-sepatu-trail-running-green-m&page=1&cpm_template_req=3&template_id_used=3&is_search=1&click_ad_type=2&product_id=8379614712&t=desktop&src=search&dv=desktop
Aonijie Gaiter E941 - Pelindung Kaki Sepatu - Trail Running BLUE,Rp180.000,Aonijie Indonesia,https://images.tokopedia.net/img/cache/500-square/product-1/2019/5/13/24066911/24066911_7154df53-756b-499b-bc6f-2650f755ec3a_783_783.webp?ect=4g,"Tipe : E941 Color : BLACK BLUE # Harga adalah harga sepasang Aonijie Pelindung Kaki / Sepatu / Gaiter cocok untuk sport Trail Run, Outdoor, Camping dsb bagian depan terdapat pengait ke tali sepatu, bahan mesh untuk aliran udara, dengan pengunci baru untuk tali ke telapak sepak yang lebih kuat The AONIJIE  Unisex Trail Gaiters High Lab are designed with intrusion protection to keep debris like rocks, sticks and snow out of your shoes. Made with durable and highly breathable elastic lycara fabric, the gaiter is lightweight and ready for a long run. Featuring ankle bones protection to give you that extra security while on the trail. AONIJIE's simple one-piece design slips on and off your shoes quickly. Reflective details for increased visibility during night and early morning runs. Features: -Lycra ,polyester -When the trail becomes more of a rubble pile, simply slide these gaiters over your shoes and Velcro them closed Specification: Brand:AONIJIE                                                 Model:E941 Net weight: 50g                                                 Material: Lycra ,polyester Size: 25 x 17cm                                                  Free size: US  : 5.5 to 9.5 EU  : 36 to 43 UK  : 4 to 8.5 Package Content: 2 x Running Gaiters",https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoArNosURosyDUMVj9RzNrc1i6sHDUSC5rfB7q3YXUsthbm-7q3OBUsthopJfopJN6AUObm-xgVYpyfYagZUEHsypbsHdopj7H_1RopJF6Ajfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_Z9o-Q1dFyfFN8B29zSBgHMP2_fB-HJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjuN3M2CHB2Ju_oHuJJO3BzzPJNJ__zg1pVt3jzzHJh1Z_VqzJN0_7zZqO2W3MOo17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_9j78jYJypu6zJ1h_S2s8JOJgpu6q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjp_Sj7HjN11_C6qjOd_Bz0P7NEZ_C-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti8jURu1odquoRu1B_b9z9u9tRg7VH_RPc_fdWHOBhqJY3eMPuQuCZ1M2wrpo6qsud9OuMo7udepC3P7BxQ9efz1NM_R-Bu7hvZurF8_uNq7BHo7FdZ7VXeRe7zJud_uujQVYAuSoMHf4Wb1W919Kf97BjqJNqQO-D97os3_-S8cUibm-xQcri6i-tg3VjQcBXguYXqRzwrfx5rcVj9fVDQVYFrMYjP3o7raUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-xyBY7g9o7Usti_iUDUSgBrSo2Qfdi6i-fHiUDUSCaq3oB9f-2gmUEHseFHACY?t=desktop&src=search&is_search=1&page=1&template_id_used=3&keyword_correction=gaiter&keywords=gaiter&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Faonijie%2Faonijie-gaiter-e941-pelindung-kaki-sepatu-trail-running-blue&cpm_template_req=3&click_ad_type=2&product_id=471652488&uid=0
Aonijie Gaiter E941 - Pelindung Kaki Sepatu -Trail Running Light Green,Rp175.000,Aonijie Indonesia,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2023/6/24/4f9c3d70-6fec-4b2d-9983-5b21577a2093.jpg.webp?ect=4g,"Tipe : E941 Color :  Light Green # Harga adalah harga sepasang Aonijie Pelindung Kaki / Sepatu / Gaiter cocok untuk sport Trail Run, Outdoor, Camping dsb bagian depan terdapat pengait ke tali sepatu, bahan mesh untuk aliran udara, dengan pengunci baru untuk tali ke telapak sepak yang lebih kuat The AONIJIE Unisex Trail Gaiters High Lab are designed with intrusion protection to keep debris like rocks, sticks and snow out of your shoes. Made with durable and highly breathable elastic lycara fabric, the gaiter is lightweight and ready for a long run. Featuring ankle bones protection to give you that extra security while on the trail. AONIJIE's simple one-piece design slips on and off your shoes quickly. Reflective details for increased visibility during night and early morning runs. Features: -Lycra ,polyester -When the trail becomes more of a rubble pile, simply slide these gaiters over your shoes and Velcro them closed Specification: Brand:AONIJIE Model:E941 Net weight: 50g Material: Lycra ,polyester Size: 25 x 17cm Free size: US : 5.5 to 9.5 EU : 36 to 43 UK : 4 to 8.5 Package Content: 2 x Running Gaiters",https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoArNosURosyDUMVj9RzNrc1i6sHDUSC5rfB7q3YXUsthbm-7q3OBUsthopJfopJN6AUObm-xgVYpyfYagZUEHsypbsHdopj7H_1RopJF6Ajfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_Z9o-Q1dFyfFN8B29zSBgHMP2_fB-HJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjuN3M2CHB2Ju_oHuJJO3BzzPJNJ__zg1pVt3jzzHJh1Z_VqzJN0_7zZqO2W3MOo17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-q1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjja_9j78jYJypu6zJ1h_S2s8JOJgpu6q1BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjp_Sj7HjN11_C6qjOd_Bz0P7NEZ_C-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti8jURu1odquoRu1B_b9z9u9tRg7VH_RPc_fdWHOBhqJY3eMPuQuCZ1M2wrpo6qsud9OuMo7udepC3P7BxQ9efz1NM_R-Bu7hvZurF8_uNq7BHo7FdZ7VXeRe7zJud_uujQVYAuSoMHf4Wb1W919Kf97BjqJNqQO-D97os3_-S8cUibm-xQcri6i-tg3VjQcBXguYXqRzwrfx5rcVj9fVDQVYFrMYjP3o7raUDUMNOQ3-BrBY5gBYxgIHi6sJDUMNOQ3-BrBYxgIowrMuhUsthbm-xyBY7g9o7Usti_iUDUSgBrSo2Qfdi6i-fHiUDUSCaq3oB9f-2gmUEHseFHACY?uid=0&is_search=1&template_id_used=3&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Faonijie%2Faonijie-gaiter-e941-pelindung-kaki-sepatu-trail-running-light-green&src=search&keywords=gaiter&page=1&keyword_correction=gaiter&click_ad_type=2&dv=desktop&cpm_template_req=3&product_id=10197198485
"Gaiter / Gaiters, Pelindung Kaki Outdoor Hiking - XABA Kluet 02 - Hitam",Rp99.000,XABA,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/6/18/2223f07f-1d17-4fb9-a84a-08ccddc209a3.jpg.webp?ect=4g,"Gaiter ini berfungsi untuk melindungi sepatu dari masuknya kerikil, debu, lumpur dan bahkan salju yang bisa saja masuk saat pendakian. Material : Cordura Bimo (yang pasti bahan ini teruji kekuatan dan ketahanan airnya) bukan full 100% karena air bisa masuk lewat jahitan dan bagian atas / lutut Brand: Xaba Item: Kluet Pro Colour : - Black-Black - Black-Green Army Size : T 40 cm, L 43 x 46 cm, W 150g Suitable for : Mountaineering,Camping,Hiking,Snowfield,Sandfield Fertures : Tearproof,Scratch-resistant,Waterproof,Lightweight Jangan tunggu kehabisan, segera order Gaiter XABA ini, SEKARANG JUGA. #gaiter #gaither #pelindungkaki #outdoorgear #xabaoutdoor #geiter #perlengkapancamping #outdoor #safetyboots #geiter #gaiters ",https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_KOosnpHsKabm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_yRH_jdHsHDUMoFyaUEoAnFbm-FQRo2PcB5QiUEHZFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyabAJ7HpUDH_edoO7DUMNwyfVXgcBjy9zB9fVjraUEHs1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHpjFbs1RosUf6ArFosHNHpUObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1ONoAVo8MD7_32oP7OJgpz6zcDh_BzsH7B2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1O11_C6qB1F_1zSoJOJu9Po8j1F_SB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z_VoqMH73M2gHJNAHA-qzJuE_VzzHJOJ19zvzV1O_1HhQ1Nkz_-quJ20_7zs8BB9Z3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooH_xd_jzSHfgU8IooQ9xfgAod6c-JzSoiHfedgjx6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BRZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_92-81hkz_-6ucWN_BzSH1O1u9PozcoEZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sHOo_K7bm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUhoAjpUiFio_rRUiFiH_edoaUDUsJ7osyibmUpos1pUiFiH_eNom-Pbm-FrMBsguYiq3ei6seFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUst76_eXH_jRo_yFHAHRoArh6_HDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopjhHAJaHAnN6_r7H_jOHR7?pub_domain=0&t=desktop&src=search&is_search=1&ob=23&management_type=1&pub_id=0&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fxaba%2Fgaiter-gaiters-pelindung-kaki-outdoor-hiking-xaba-kluet-02-hitam%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=gaiter&pub_unit=0&page=1
Masker Multifungsi Fjallraven Bergtagen Neck Gaiter Original,Rp639.000,SHELTER 3 OUTDOOR,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/11/21/d280a46d-4b2d-408d-b6db-b295eb2b204c.jpg.webp?ect=4g,"Fjallraven Bergtagen Neck Gaiter Produk 100% original dan resmi barang baru dengan tag Warna : -Hokkaido orange -Mountain blue PRODUCT DESCRIPTION You won’t have to spend much time above the treeline to appreciate the extra warmth this neck gaiter will give you. It efficiently stops icy winds from finding their way in and can be pulled up to protect your face. Made from a soft, pliant merino wool jersey knit, it has all the great properties of wool – it insulates when damp and is moisture wicking and odour resistant. The merino wool used in Bergtagen base-layers is mulesing-free and traceable back to its farm of origin. Material: 100% wool Weight: 45 g CARE INSTRUCTIONS Washing: 30°C mild process Dry cleaning: do not dry clean Bleaching: do not bleach Drying: do not tumble dry Ironing: iron 1 dot - Max 110°C Additional care instructions: wash with similar colors, do not use fabric softener, use enzyme free detergent",https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsJNHpUfoAHhbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_yRH_jdHsHDUMoFyaUEosnFbm-FQRo2PcB5QiUEHiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyabAJ7HpUDH_eNHO7DUMNwyfVXgcBjy9zB9fVjraUEHs1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHpHObsnOHA1F6_1FopeF6AKpbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qBuN_S2tQ1Nk1_CHuV20_uzoPJNJ19P6epn7_Bz0P7h93_-ouV2D_3OzoJNE_Mxgq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6c-J_MgouVJO__od6cHp1SzMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NE39uo8Bjh_M2o81Nku_z6ucPE_OoG6ZUDUMoDP9o7g9-wq3zwPsUi6sJdHAUfbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUhoAjpUiFio_rRUiFiH_edoaUDUsJ7osyibmUpos1pUiFiH_eNom-Pbm-SrMYOrVYpPI-xPcuS8ZUE3pJDHB7DUSCaq3oB9f-2gmUEosnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sehoadhHAHRHpHOHAJOHseabm-hP3ua8uYag3hay3N09RosQR-BUstFbsyRosHaosjF6A1d6AJFHAgY?t=desktop&dv=desktop&pub_unit=0&keywords=gaiter&src=search&page=1&pub_id=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fshelter3%2Fmasker-multifungsi-fjallraven-bergtagen-neck-gaiter-original%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_domain=0&ob=23&management_type=1&is_search=1
Gaiter/ pelindung kaki - Hitam,Rp37.000,Kilimanjaro Outdoor,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/2/3/16f9f39d-7b21-4963-a509-d1d114a99a0b.jpg.webp?ect=4g,gaiter cocok untuk pelindung kaki saat pendakian... Ready warna : -Kilimanjaro Hijau Cokelat Biru Hitam Abu,https://www.tokopedia.com/kilimanjaro-adv/gaiter-pelindung-kaki-hitam?extParam=ivf%3Dfalse%26src%3Dsearch
Gaiter Aonijie E941 - Biru,Rp178.000,Hike n Run,https://images.tokopedia.net/img/cache/500-square/product-1/2020/4/17/8477181/8477181_df82fe70-cd02-4173-bbb5-ce66bfe48faa_1080_1080.webp?ect=4g,"Gaiter lari dari Aonijie dengan bahan polyester yang kuat terhadap goresan maupun bebatuan / pasir yang difungsikan agar bebatuan/kerikil kecil tidak masuk ke dalam sepatu selama berlari (terutama di trail run). Dilengkapi back reinforced rubber band di bagian atas tumit dan shoe lace hook agar gaiter tidak bergeser selama berlari. Merek : Aonijie Model no : E941 Kategori : Gaiter Lari Model : Short cut Warna: Hitam-Ungu Geometri, Hitam-Biru, Hitam-Coklat Material : *Bagian depan (hitam) = 100% Polyester *Bagian belakang (corak) = 88% Polyester, 12% Spandex Ukuran : 20 x 17cm (cocok untuk ukuran sepatu 36-43) Berat : 75gr Isi Paket : 1 pasang Gaiter Fitur Produk : *Sangat ringan dan mudah dibawa kemanapun *Bahan Polyester yang waterproof dan kuat, aman dari gesekan bebatuan / pasir *Bagian belakang gaiter yang lembut, meningkatkan kenyamanan di kulit *Hypalon Strap yang kuat sebagai pengikat bagian bawah sepatu *Klip yang kuat dan tahan lama agar strap tidak mudah bergeser setelah diatur panjang pendeknya *Terdapat hook tali sepatu dan back rubber band di bagian belakang agar gaiter tetap pada tempatnya *Ankle protector dengan busa yang lebih tebal *Logo reflective agar terlihat di malam hari *Cocok digunakan saat trail run, hiking, trekking",https://www.tokopedia.com/hikenrun/gaiter-aonijie-e941-biru?extParam=ivf%3Dfalse%26src%3Dsearch
Gaiter - Pelindung Kaki / Sepatu Outdoor Waterproof - Gaiters - Geiter - Biru,Rp39.999,aylira zahra,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/5/12/5f169d95-1b38-41a5-8de8-9af7158e0561.jpg.webp?ect=4g,"Detail produk dari Gaiter - Pelindung Kaki / Sepatu Outdoor Waterproof - Gaiters - Geiter - Pelindung Sepatu : ✅ Berguna untuk melindungi kaki dari kerikil pada track berpasir ✅ Melindungi darigigitan pacet atau ular,becek saat hujan dan track basah ✅ Bahan Taslan Waterproof (Anti Air) ✅ Size: Panjang 42 cm, Lebar 23 cm (1 Ukuran) ✅ berat hanya +- 150 gram ✅ Harga untuk 1 pasang (Kanan Kiri)",https://www.tokopedia.com/aylirazahra/gaiter-pelindung-kaki-sepatu-outdoor-waterproof-gaiters-geiter-biru?extParam=ivf%3Dfalse%26src%3Dsearch
Pelindung Kaki Gaiter Kayak,Rp70.000,kayak outdoor,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/10/29/52e10635-0aea-4e8f-b0cf-ad93d331a41b.jpg.webp?ect=4g,Material : Cordura Bimo,https://www.tokopedia.com/kayak-outdoor/pelindung-kaki-gaiter-kayak?extParam=ivf%3Dfalse%26src%3Dsearch
gaiter geiter pelindung kaki sepatu waterproof makadam - abu tua,Rp35.000,Makadam,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/19/b192c4b8-7a0a-4c6b-b748-ab4f5e42bda2.jpg.webp?ect=4g,"Gaiter Waterproof  Makadam Pelindung kaki/sepatu dari kerikil, pasir, debu, bahkan air saat berjalan pada track berpasir dll.. Menjaga serta mencegah gigitan pacet atau ular, saat becek, hujan dan track basah. Bahan Taslan Waterproof dilapisi puring. Size:  Panjang 42 cm Lebar 23 cm  berat kurang lebih 50 gram Harga untuk 1 pasang (Kanan Kiri)",https://www.tokopedia.com/makadam/gaiter-geiter-pelindung-kaki-sepatu-waterproof-makadam-abu-tua?extParam=ivf%3Dfalse%26src%3Dsearch
