product_name,rent_price,url_photo,link
kotak p3k isi,Rp15.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/18/c36e20ef-6a63-4af9-82ee-f26c2a5ccb55.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUF6A1Fos1pbm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_rhopKO6_Hp6mFiqfuNPfYagVY2gmUEo_1N6AK7opJNoaFiy3zwrfo5rM1i6sUR6ZdhHAKO6_1FoA1dosjhoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqMoR_92sP7OEyRPo8MoR_92sP7OE_3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBo1pzdZ3BRq3-W69ugHBu2_fB-HV293_ovucHh_SjF8jN91MBHuV-2_7P-PVB1z_zoq_VD_OP3QJOEyRBvucrp_1PVq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGrMzc63hBz7gkgJo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NEqRuouJJ7_Bz0H1OJ1_VvzVjO_uzuq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-B_1PgouYb6cxDyugOuIUFPaOke7HRzsPaqAgGojP3qJoyuMhA63zRqS-z6cBa13HO3BPGzfupQOYp1cJFg7-CQM--eut7rIzFb_HFyiOc3SyR_VucPAxy1fVb_OVU_1WfzuzXZpVpQJKWuf1F8soSHBVAz_xxQ3ojg3Y7oMNqoiUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHZFiQSuWyMua9fVjrOYag9Ji6sJDUMNwyfVXgcBjy9zB9fVjraUEoaFiy3-wPcupPmUEUjdibm-fg9-pq3YXUstiPsUibm-FrMBsguYiq3ei6sJaHAnFwe?uid=0&dv=desktop&src=search&page=1&click_ad_type=2&is_search=1&keyword_correction=kotak+p3k&product_id=13454067834&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fekalkesshop%2Fkotak-p3k-isi&keywords=kotak+p3k&cpm_template_req=3&template_id_used=3
kotak p3k dinding mk 11 maspion,Rp82.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/24/b9810ee8-7cc2-4f3b-8a0d-9a2b9233d860.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsUF6A1Fos1pbm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_rhopKO6_Hp6mFiqfuNPfYagVY2gmUEo_1N6AK7opJNoaFiy3zwrfo5rM1i6sUR6ZdhHAKO6_1FoA1dosjhoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqMoR_92sP7OEyRPo8MoR_92sP7OE_3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBo1pzdZ3BRq3-W69ugHBu2_fB-HV293_ovucHh_SjF8jN91MBHuV-2_7P-PVB1z_zoq_VD_OP3QJOEyRBvucrp_1PVq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGrMzc63hBz7gkgJo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NEqRuouJJ7_Bz0H1OJ1_VvzVjO_uzuq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-B_1PgouYb6cxDyugOuIUFPaOke7HRzsPaqAgGojP3qJoyuMhA63zRqS-z6cBa13HO3BPGzfupQOYp1cJFg7-CQM--eut7rIzFb_HFyiOc3SyR_VucPAxy1fVb_OVU_1WfzuzXZpVpQJKWuf1F8soSHBVAz_xxQ3ojg3Y7oMNqoiUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHZFiQSuWyMua9fVjrOYag9Ji6sJDUMNwyfVXgcBjy9zB9fVjraUEoaFiy3-wPcupPmUEUjdibm-fg9-pq3YXUstiPsUibm-FrMBsguYiq3ei6sJaHAnFwe?is_search=1&page=1&template_id_used=3&product_id=12196607945&uid=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fekalkesshop%2Fkotak-p3k-dinding-mk-11-maspion&cpm_template_req=3&click_ad_type=2&keywords=kotak+p3k&dv=desktop&t=desktop&src=search&keyword_correction=kotak+p3k
Kotak P3k Plus Isi Standar / Kotak P3k Standar,Rp240.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/9/d317738f-cc0b-49f8-9313-c8c57e1d072b.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsnFHsjdHAnfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdo_jpHpyDUMoFyaUEHsUOHmFircYpq9z2Qfdi6sJDUMWB89P5rMzwq3ei6s1hosKRHsedopjDUMVDgaUEUMW79RCtrMVpguY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDN6AeD6_jhbAJpopoPbm-X9foxQMz2gcV7guYxgIHi6sJNoaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstRH_JXHAKa6_1foAHd6A1RHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjVO_uz0HjYJypV-q9P2yM7NPujau3Bvq1Bd3_-gHOB13M26q_V23jzjQJh11_-g8MP73uzjqJY_HIxvuJVd_7PgHu2Jz_ovzOB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MggQj2f3uPZ6cgIPACyH7-5yfOc8B2_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBke3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z_VvzVBO_BzoH1O1Z9PvucPd_7zuH7ONZsjibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUhHprpUiFiHs1RoaUDUsefHpUibmUaHpnhUiFiH_HR6m-Pbm-SrMYOrVYpPI-xPcuS8ZUE3pJDHB7DUS-BQcufy3NsguYpyfYagZUEHmddopJposr7o_1aoAJOo_nObm-FrMBsguYiq3ei6sUao_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6_KhbsKpHsKNoAnRHs1No_1DUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXoprNH_jFo_KpHAjfHsKaoI7?pub_unit=0&is_search=1&pub_domain=0&keywords=kotak+p3k&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fcharmedika%2Fkotak-p3k-plus-isi-standar-kotak-p3k-standar%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_id=0&page=1&ob=23&dv=desktop&management_type=1&src=search
Isi Kotak Obat P3K Lengkap Murah/hemat,Rp120.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/7/c8bf069b-5122-4546-bea3-ae2f1165fda4.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HRoAJOHsHpbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdo_jpHpyDUMoFyaUEH_KFHmFircYpq9z2Qfdi6sUDUMWB89P5rMzwq3ei6sedH_H7oseao_eDUMVDgaUEUMW79fudy3o79RzWUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3pjdomFN6_JDH_HRHO7DUMNwyfVXgcBjy9zB9fVjraUEH_jRbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6s1d6md7o_UaHAHhoAJFH_ehbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8JOAoIBozVVR_7zVHjOEZ_-6uJOR_M2Vq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAoIBozcHh_1zCP7OJe9PozJVR_1zCP7O2Z9o-Q_ufyMO6QJBkQfBou7NW_s-VHBBE39zgQuJp3BHFHJNW__zHu71p3uz0PJO1qRPoucxW_BPz8JNEqcO-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBjzpJdgjP7HVKauszgu7dFZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32zoJN_oI2vzJ7F_320HjNJqRx6ucH7_BoG6ZUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJpopHibmUao_rRUiFioAypHiUDUsUpHAJibmUhHprdUB7DUS-BQcufy3NsguYpyfYagZUEHmddopepHA1dosH7o_UhHpHRbm-FrMBsguYiq3ei6sJdHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEopyRbsJfopyfHsHfo_HpHaFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdfHsrpoArfHprhHpJhHAVY?management_type=1&ob=23&src=search&pub_domain=0&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fwwwtokoalatsafety%2Fisi-kotak-obat-p3k-lengkap-murah-hemat%3FextParam%3Divf%253Dfalse%26src%3Dtopads&page=1&t=desktop&pub_id=0&keywords=kotak+p3k&dv=desktop&pub_unit=0
Tempat Kotak Obat P3K Pouch First Aid Bag Kit OneMed Pouch P3K - Abu-abu,Rp17.500,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/30/3986f060-4681-4604-b810-1b7c81607b52.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_nNoAJFHpUpbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdo_jpHpyDUMoFyaUEop1Fbm-FQRo2PcB5QiUEHaFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3prhoZFhopeabAUOopPPbm-X9foxQMz2gcV7guYxgIHi6sJNoaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstOHsKXosrfopyRoAUdo_UaHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zE_92o8jOE_92o8jOE_92o8jOE__V-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkyRuo8j1p_1zs8jO1yRP68jOd_S2CH7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjgk3M2jqJNW__-Hu720_s-uPJNJ3M2vepVt_s-Vo1h1z_uozJ173M23q7O1ypzqq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2-H1NEgAxMzRPNyjrNHfgU8IoouRxfgAod6cHp1SzMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-HJOE39uozcHp_7zCP7Nkypz68jjO_jzoq3gzv_7ibm-sQIupPcua9fBj9RyaUstpHseOHZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiH_HRHaUDUsUOopribmU7osHaUiFiHsHFHZUDUsJpopKi9ZFirI-2yfuwyMBjUstRo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEosyObsj7H_yOop1FH_H7oAHDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXosjFoAyh6_y7HsJN6AJdHS7?dv=desktop&is_search=1&pub_domain=0&pub_unit=0&keywords=kotak+p3k&r=https%3A%2F%2Fwww.tokopedia.com%2Fhealthydrinkjkt%2Ftempat-kotak-obat-p3k-pouch-first-aid-bag-kit-onemed-pouch-p3k-abu-abu%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_id=0&management_type=1&t=desktop&ob=23&src=search&page=1
kotak p3k mobil lengkap,Rp14.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/27/7c857bce-e4ce-485b-b042-a57f35e560e1.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6_KO6_eRoAeDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rhopKO6_HpoiFiyRCsUsthoA1Fbm-FQRo2PcB5QiUEomFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3prhoZFhopeabAUOopPPbm-X9foxQMz2gcV7guYxgIHi6sJNoaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstOHsyX6AK76_nRHsH7Hsnfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81hkgpV68j1F_32SH1NEz_CoqMrh_SB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z9xgHBjp3uzqqjN2H3BqzczD_VzzHBBEgRzguczt_OHF8JY1e9xvzOjh3jzVH7YI33BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooH_xN_BzsHfgU8IooQ9xfgAod6c-JzSoiHfedgjx6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BRZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_jzoHJhku_uvucH7_7z0HjY11_uoucW2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6sJaosK7bm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUhHprpUiFiHs1RoaUDUsefHpUibmUaHpnhUiFiH_HR6m-Pbm-FrMBsguYiq3ei6sJ7o_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEosefbsyhopjOH_UhHpJho_eDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXoAJNH_1f6A1pHAr7o_jdHsPY?dv=desktop&t=desktop&keywords=kotak+p3k&page=1&management_type=1&pub_domain=0&ob=23&pub_id=0&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Falkescibitung%2Fkotak-p3k-mobil-lengkap%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&pub_unit=0
18 in 1 Perlengkapan Alat Medis P3K isi Lengkap dengan Tas Kotak,Rp29.900,https://images.tokopedia.net/img/cache/200-square/product-1/2021/5/16/11474824/11474824_d8f87572-149e-4a6d-9138-6971738d6457.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_nNo_yd6AJfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_rdo_jpHpyDUMoFyaUEopnFbm-FQRo2PcB5QiUEoZFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3prhoZFhopeabAUOopPPbm-X9foxQMz2gcV7guYxgIHi6sJNoaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstOHAeXHAKFH_eOHAyd6AKa6ArDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_3j781YJu_oouVVN_7zuH7O119BvzV1aZ3BRqujp1SByH7ND3uxGqMVAZ_g-qMP2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1O9_MO6Hj1a392gPVBW1_oq1pnF_MOooJh9z_ogucW7_uz0P7O1qcO6uOVd_S2tQ1B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-J_MgoqB1p_sod6c-JZSoiHfedgjPR8c-I6_oMZIxEgJrh6cgI_MB-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoe7BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qBVd_BH7H7YJqR2o8j7O_OzzHJNkyp--QsnYUiFiyfhOrRzBrBY2gVYfHiUEHsyfosJDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJpopHibmUao_rRUiFioAypHiUDUsUpHAJibmUhHprdUB7DUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6syp6mdRHpKhHpyNHA1p6_efbm-hP3ua8uYag3hay3N09RosQR-BUstFbsraopJaHAUOHsyaoprOo_PY?src=search&keywords=kotak+p3k&r=https%3A%2F%2Fwww.tokopedia.com%2Fhomesioofficial%2F18-in-1-perlengkapan-alat-medis-p3k-isi-lengkap-dengan-tas-kotak-13-in-1%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&pub_domain=0&management_type=1&ob=23&pub_id=0&page=1&t=desktop&dv=desktop&pub_unit=0
KOTAK PENYIMPANAN OBAT P3K MASPION WALL CABINET BMA-18,Rp63.000,https://images.tokopedia.net/img/cache/200-square/product-1/2021/5/27/5009736/5009736_ee2cbcb1-af44-427a-8f63-928adac52992.jpeg,https://www.tokopedia.com/beofficialstore/kotak-penyimpanan-obat-p3k-maspion-wall-cabinet-bma-18?extParam=ivf%3Dfalse%26src%3Dsearch
paket kotak p3k dinding + isi lengkap murah,Rp128.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/6/8/cc2d599c-18c6-4239-9f0e-870a2c12ac03.jpg,https://www.tokopedia.com/jayaberkah/paket-kotak-p3k-dinding-isi-lengkap-murah?extParam=ivf%3Dfalse%26src%3Dsearch
Tas Obat P3K Mini` Tempat Obat Kotak Travel` First Aid Kit Bag Pouch,Rp16.100,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/26/17f3f5ce-067b-42bc-a274-d2edec52b867.jpg,https://www.tokopedia.com/drabun-store/tas-obat-p3k-mini-tempat-obat-kotak-travel-first-aid-kit-bag-pouch?extParam=ivf%3Dfalse%26src%3Dsearch
