renters,description
iSleep Official Store,"iSleep Silent by Comforta (Kasur Pocket) Vacuumed Mattress Free Bantal (Mattress Only) Pengiriman Ke Jabodetabek, Bandung, Purwakarta, Semarang, Yogyakarta, Solo, Lampung, Palembang. free Delivery 1-2 hari kerja GARANSI 2 HARI SAMPAI! INSTANT SAME DAY DELIVERY, khusus Jabodetabek. Order maksimal jam 12 siang, biaya Rp 50.000  https://www.tokopedia.com/isleepofficial/instan-sameday-delivery-jabodetabek-only iSleep Silent Unbox Joyful Sleep with a Snap: Proses pemesanan iSleep segampang texting – tanpa ribet, menyenangkan! Klik, pilih di layar g adgetmu dan bersiaplah untuk petualangan menuju tempat tidur impian. Plus, nikmati pengiriman super cepat yang bakal langsung bikin kamu terlelap! Part of the Cool Comforta Crew: iSleep adalah bagian dari keluarga Comforta - sebuah nama yang identik dengan inovasi dan kualitas. Dengan penghargaan Top Brand selama 10 tahun berturut turut dan Nomor 1 di tahun 2024 (yang merupakan hasil survei terhadap lebih dari 14,000 orang di 15 kota besar di Indonesia) dan penghargaan internasional Superbrands, kamu gak cuma dapat kasur biasa; kamu berinvestasi pada kasur berkualitas yang terbukti memuaskan untuk jangka panjang. Tinggi Kasur : 27cm Garansi Per : 10 Tahun     • Independent Pocket Spring Pocket spring iSleep adalah juaranya mengembang dengan sempurna. Tidak ada gangguan tidur disini – pegas pegasnya dirancang untuk mengembang utuh dan membuat kamu terus terlelap dengan nyaman     • FlexSure™️ Hi Density Foam Ini bukan Cuma busa biasa, ini FlexSure™️ - kepadatan lebih tinggi dan lebih tahan lama     • Soft and Stretchy Fabric Ucapkan selamat tinggal pada kerutan! Benang elastis di kain iSleep menjaga Kasur tetap mulus setelah dibuka     • Dacron fiber with goose down feel Sangat lembut, seperti bulu angsa, dan serat anti alergi     • Extra Plush Topping for Extra Comfort Tingkatkan tidurmu dengan lapisan plush top yang lebih tebal. Ini seperti menambahkan awan yang nyaman ke tempat tidurmu Kami Menggulung, Bukan Melipat: Melipat? NO WAY! Kami menggulung (dan bukan melipat) untuk melindungi struktur busa dan pegas, memastikan kasurmu dalam kondisi terbaik ketika mengembang. Istirahatmu layak mendapatkan yang terbaik – itulah mengapa kami menggulung dengan cara yang berbeda. Notes :  •	Diamkan kasur agar mengembang dengan sendirinya selama 72 Jam (3x24) jam untuk hasil yang lebih sempurna. •	⁠Terdapat kemungkinan toleransi ukuran 2-3 cm untuk ketebalan, panjang, dan lebar kasur. •	TIDAK DIPERBOLEHKAN MENYIMPAN KASUR SELAMA LEBIH DARI 7 HARI di dalam box setelah barang diterima. •	⁠Kasur ini memiliki sisi utama pada bagian atas untuk ditiduri, bagian bawah kasur tidak dibuat sebagai alas tidur. •	⁠DIWAJIBKAN membuat video/rekaman unboxing untuk mempermudah proses claim kerusakan produk akibat proses pengiriman. •	Kebijakan garansi dapat dilihat di www.isleep.co.id atau dengan scan QR Code pada box produk."
SFIDN FITS,"❗ UNTUK PROSES KLAIM BARANG RUSAK / TIDAK SESUAI HARAP KIRIMKAN VIDEO UNBOXING❗ READY STOCK!! FITS Matras Yoga Senam Premium PU Karet WARNA : ✨ Hitam ✨ Ungu ✨ Abu abu ✨ Biru ✨ Kuning ✨ Merah ✨ Pink UKURAN : 🔖 Dimensi (Panjang x Lebar) : 182cm x 68cm 🔖 Ketebalan    : 5mm Suggestion Matras Yoga: https://www.tokopedia.com/fitsidn/etalase/matras-yoga Matras | Mat Yoga Premium | Matras Karet Mat Olahraga Senam Made of Plyurethan and a natural rubber so it's not slippery when exercise, It also absorbs sweat and non toxic surface . KEUNGGULAN :  ☑️ Berbahan Plyurethan dan Karet yang sangat ramah lingkungan karena dapat di daur ulang dan dibuat dari bahan alami. ☑️ Busa kepadatan tinggi 5mm membuat Anda nyaman di lantai yang keras ☑️ Tekstur anti selip dua sisi memberikan kenyamanan dan memungkinkan tingkat kekakuan yang sempurna untuk memberi Anda stabilitas yang Anda butuhkan untuk pose apa pun ☑️ Mat latihan yang tahan lama dan tahan air mata dibangun tanpa phthalate beracun, lateks atau logam berat ☑️ Permukaan sel tertutup mengunci kuman, kotoran, dan kelembaban untuk menjaga bakteri dan bau tak sedap tetap berada di luar. Mudah dibersihkan TIPS MENCUCI ATAU MEMBERSIHKAN MATRAS : ⚠️ Menggunakan tissue basah / di lap dengan kain basah ⚠️ Direndam dengan air sabun / air alkohol(jangan terlalu tinggi) ⚠️ Jangan disikat ⚠️ Dijemur dengan diangin - angin saja jangan langsung terkena matahari NOTE :  Jika barang sampai dan size nya kekecilan atau kebesaran sfidn fits memberikan kesempatan untuk penukaran barang dengan syarat : ☑️ Barang harus masih dalam keadaan bagus dan segel. ☑️ Maksimal barang diretur 3 hari setelah barang sampai. ☑️ Ongkir keseluruhan ditanggung pembeli. ☑️ Mohon untuk hubungi admin via chat untuk konfirmasi alamat penukaran. 💯 Packing Aman Dan Rapih 🕒 Senin - Jumat : Pesanan Yang Masuk Setelah Jam 15.00 Akan Diproses Keesokan Harinya (Jika Sedang Overload Akan Close Pengiriman Lebih Awal) 🕛 Sabtu : Pesanan Yang Masuk Setelah Jam 12.00 Aka"
SVARGA YOGA,"Barang akan di kirim sesuai varian yang dipilih, dan pastikan memilih varian yang benar. Prosedur barang retur, mohon customer menyertakan video unboxing, jika tidak di sertakan video tersebut, mohon maaf kami tidak bisa memprosesnya. Terima kasih. GARANSI TOKO 7 HARI ============================ SVRG. Play Mat adalah matras workout yang terbuat dari bahan NBR (nitrile butadiene rubber). Bahan NBR ini merupakan bahan yang tahan lama, elastis, dan nyaman. Memiliki ketebalan 10mm dan 15mm, sehingga dapat memberikan perlindungan dan kenyamanan yang optimal dan dirancang untuk memberikan stabilitas dan kenyamanan selama melakukan workout. Matras ini mudah dibersihkan dan dirawat, serta ringan dan mudah dibawa ke mana saja. Untuk menjaga kualitas dan kenyamanan matras, letakkan matras di tempat yang sejuk dan kering. Hindari meletakkannya di tempat yang terkena sinar matahari langsung atau dekat dengan sumber panas. Dengan menggunakan SVRG. Play Mat ini, Anda dapat melakukan workout dengan aman dan nyaman di mana saja. Produk ini cocok untuk pengguna pemula.  Technical Feature : - Material : NBR (nitrile butadiene rubber) - Dimensi : 183cm x 61cm - Varian Ketebalan : 10mm & 15mm - Warna : Pink, Blue, Green, Gray, Black - Free Carrier Mat - Lembut & Tebal"
SFIDN FITS,❗ UNTUK PROSES KLAIM BARANG RUSAK / TIDAK SESUAI HARAP KIRIMKAN VIDEO UNBOXING ❗ READY STOCK!! WARNA : ✨ Hitam ✨ Abu-Abu Suggestion Matras Yoga https://www.tokopedia.com/fitsidn/etalase/matras-yoga SPESIFIKASI : ☑️ Berbahan: NBR ☑️ Panjang x lebar : 186cm x 90cm ☑️ Ketebalan busa 8mm DESKRIPSI : ☑️ Busa kepadatan tinggi 8mm membuat Anda nyaman di lantai yang keras ☑️ Permukaannya yang sengaja dibuat bergaris untuk menghindari slip saat melakukan aktifitas yoga ☑️ Sangat ringan sehingga memudahkan anda untuk membawa matras ini kemanapun dan kapanpun ☑️ Ukuran yang lebar di desain agar bisa di gunakan oleh dua orang TIPS MENCUCI ATAU MEMBERSIHKAN MATRAS : ⚠️ Menggunakan tissue basah / di lap dengan kain basah ⚠️ Direndam dengan air sabun / air alkohol(jangan terlalu tinggi) ⚠️ Jangan disikat ⚠️ Dijemur dengan diangin - angin saja jangan langsung terkena matahari NOTE : Jika barang sampai dan size nya kekecilan atau kebesaran sfidn fits memberikan kesempatan untuk penukaran barang dengan syarat : Barang harus masih dalam keadaan bagus dan segel Maksimal barang diretur 3 hari setelah barang sampai Ongkir keseluruhan ditanggung pembeli Mohon untuk hubungi admin untuk konfirmasi alamat penukaran 💯 Packing Aman Dan Rapih 🕒 Senin - Jumat : Pesanan Yang Masuk Setelah Jam 15.00 Akan Diproses Keesokan Harinya (Jika Sedang Overload Akan Close Pengiriman Lebih Awal) 🕛 Sabtu : Pesanan Yang Masuk Setelah Jam 12.00 Akan Diproses Senin (Jika Sedang Overload Akan Close Pengiriman Lebih Awal) ❌ Hari Minggu dan Tanggal Merah Tidak Ada Pengiriman
Speeds Official Store,"Matras Lipat Foam yang serbaguna yang memiliki tesktur yang lembut. Terbuat dari bahan foam menjadikan matras ini praktis saat digunakan, dan hanya perlu menggelar, bisa disimpan dengan cara dilipat. Dilengakapi dengan garis lipatan menjadikan melipat sungguh mudah. Terbuat dari bahan XPE menjadikan ramah lingkungan, tahan terhadap lembab dan memiliki ketahanan yang lebih tinggi Dengan ketebalan 15mm menjadikan tidur dengan nyaman dan empuk saat digunakan, Terbuat dari bahan XPE yang memiliki lapisan Egg shape, cocok digunakan untuk kegiatan outdoor seperti, hiking, piknik, memancing dan traveling. Dengan desain egg shape menjadikan sirkulasi udara secara efektif membuat efek pijatan lebih terasa. SPESIFIKASI: 1. Memiliki lapisan yang mudah dibersihkan 2. Dilengkapi dengan 2 sisi yang berbeda yang bisa digunakan untuk kegiatan indoor maupun kegiatan outdoor  3. Terbuat dari bahan XPE menjadikan ringan dibawa kemanapun dan juga memiliki lapisan anti toxic 4. Dengan tebal 15mm menjadikan matras ini lebih tebal saat digunakan 5. Dilengkapi dengan tas sehingga memudahkan dalam dibawa kemanapun dan digunakan kapanpun 6. Memiliki garis lipatan menjadikan mudah dalam dilipat dan tidak memakan banyak ruang penyimpanan 7. Cocok digunakan untuk kegiatan outdoor 8. Dengan desain telur menjadikan sirkulasi udara lebih efektif dan mampu memberikan pijatan yang lebih empuk. Produk Berstandar SNI Kualitas yang teruji, keamanan terjamin. Produk dengan standar SNI memberikan jaminan keunggulan dan kepercayaan kepada anda."
Neosava,"TERMASUK TALI IKAT 1.Kualitas Bahan TPE Premium: Anda tidak perlu khawatir tentang paparan bau berbahaya saat menggunakan matras yoga ini; yang tahan lama dan ramah lingkungan dapat melayani Anda untuk waktu yang cukup lama. Bahan TPE memberikan kualitas yang sangat baik ketahanan, yang dapat menjamin kesehatan sendi Anda selama penggunaan jangka panjang. Bahan TPE lebih lembut, lebih ringan dan memiliki ketahanan yang lebih baik dari bahan PVC, NBR, dan EVA.   Dan bahan TPE tidak beracun, bebas dari ftalat, timbal atau logam berat. 2.Comfort and Cushioning:  Terbuat dari bahan TPE lembut dan berdensitas tinggi untuk kinerja yang tahan lama dan andal; matras yoga ini akan secara efektif melindungi tubuh Anda dari ketidaknyamanan dan mengurangi tekanan sendi Anda.  Permukaan sel tertutup MATRAS YOGA TPE NEOSAVA menjaga kelembapan dan keringat agar tidak meresap ke dalam matras dan tidak akan menghasilkan bau apa pun. Tahan air membuat matras yoga mudah dibersihkan dengan kain lembab atau sabun lembut.  3.Kenyamanan dengan Ketebalan 6mm : memberikan perlindungan yang sangat baik untuk tulang belakang, pinggul, siku, dan lutut Anda, terutama pada pose lengan bawah dan berlutut dan  memiliki kenyamanan dan bantalan yang tak tertandingi. Ukuran 183cm x 61 cm x 0.6cm dapat memuaskan semua level yoga, pilates, dan latihan lantai untuk wanita dan pria. 4.Double-Sided Non Slip Texture Design: Permukaan NON SLIP DUA SISI travel yoga mat membantu Anda fokus pada pernapasan dan postur Anda tanpa gangguan tergelincir di atas matras kebugaran, dan juga memiliki grip yang kuat mencegah alas landasan tergelincir atau meluncur di lantai, seperti lantai kayu, lantai ubin dan lantai semen. 5.Multifungsi: Matras yoga ini juga dapat digunakan sebagai alas atau  tikar bermain untuk anak-anak dan aktivitas olahraga lainnya. 6.Ringan dan Portabel: Ringan dan mudah dibawa ke gym, studio yoga, atau ke mana pun Anda mau; travel yoga mat ini hadir dalam 3 warna unik."
Goto Living,"Alas yoga mat yang kamu punya tipis bikin sakit?  Mau nyaman latihan yoga pakai alas yang tebal?  Yang bisa dijinjing dibawa karena ada tas jaringnya?    Wujudkan keinginanmu dengan GOTO NBR Yoga Mat 10mm yang punya banyak keunggulan.  1. Berbahan NBR tahan suhu panas dengan tingkat elastisitas yang baik. 2. Memiliki ketebalan, alas yoga NBR 10mm cocok digunakan untuk orang yang memiliki riwayat cedera lutut dan sakit sendi/tulang ekor. 3. Didesain dengan permukaan yang halus, tebal, dan anti slip membuat matras nyaman dipakai untuk menopang tubuh, lutut, dan pinggang saat melakukan latihan. 4. Permukaan matras anti air dan mudah dibersihkan. 5. Dengan bahan busa terbaik yang ramah lingkungan dan tidak berbau.    Catat belinya di GOTO Living aja. Kenapa?  1. Karena GOTO Living barangnya bener-bener berkualitas dan orisinil.  2. Karena GOTO Living bener-bener tidak pernah mengecewakan selama 20 tahun.  3. Karena GOTO Living Hebat - Hemat Banget.  4. Karena Customer Service nya GOTO Living bener-bener ramah dan fast response.  5. Karena pengemasan barangnya GOTO Living bener-bener rapih dan aman.    Spesifikasi  Bahan		: Nitrile Butadiene Rubber (NBR)  Dimensi	: Panjang 183cm x Lebar 61cm  Ketebalan	: 10mm Berat produk	: 750g Varian Warna: Pink, Green, Black, Grey, Light Blue dan Purple   FAQ  1. Apakah setiap pembelian mendapat sebuah tas jaring?  Ya. Kami menyediakan sebuah tas jaring untuk setiap pembelian Yoga Matt 10mm.    2. Apakah pada permukaan Yoga Matt 10mm terdapat logo GOTO Living?  Ya. Di permukaan bagian atas terdapat logo GOTO Living.    3. Apakah pengemasan dijamin aman?  Sebelum barang dikirim akan melalui tahap pemeriksaan. Setelah itu barang akan dikemas rapi, dan hampir semua barang dilapisi bubble wrap yang melindungi barang tetap aman sampai di tujuan."
Ultra Shop 88,"Matras Spon Lipat SPEEDS Matras lipat terbaru dari Speeds. Sangat cocok untuk kegiatan outdoor seperti traveling, naik gunung, piknik, dan sebagainya yang membutuhkan space lebar. Portable, mudah dilipat. Dilengkapi dengan motif egg nest yang membuat nyaman tubuh dan menahan dingin dari lantai langsung. Material : XPE Berat : 1300 gram Size : 120 cm x 200 cm  TEBAL : KURANG LEBIH 10mm FREE TAS FITUR - Desain tempat telur tidak hanya nyaman untuk duduk tetapi juga membantu sirkulasi udara dan efek pijat ringan. - Volume kecil, ringan dan Mudah dibawa dan dilipat. - Menghindari dingin, kotor, basah saat duduk, menyimpan tas atau barang bawaan. - Dapat digunakan juga sebagai bantalan tas/backpack."
SFIDN FITS,"❗ UNTUK PROSES KLAIM BARANG RUSAK / TIDAK SESUAI HARAP KIRIMKAN VIDEO UNBOXING❗ READY STOCK!! FITS Matras Yoga Senam Premium PU Karet WARNA : ✨ Hitam ✨ Ungu ✨ Abu abu ✨ Biru ✨ Kuning ✨ Merah ✨ Pink UKURAN : 🔖 Dimensi (Panjang x Lebar) : 182cm x 68cm 🔖 Ketebalan    : 5mm Suggestion Matras Yoga: https://www.tokopedia.com/fitsidn/etalase/matras-yoga Matras | Mat Yoga Premium | Matras Karet Mat Olahraga Senam Made of Plyurethan and a natural rubber so it's not slippery when exercise, It also absorbs sweat and non toxic surface . KEUNGGULAN :  ☑️ Berbahan Plyurethan dan Karet yang sangat ramah lingkungan karena dapat di daur ulang dan dibuat dari bahan alami. ☑️ Busa kepadatan tinggi 5mm membuat Anda nyaman di lantai yang keras ☑️ Tekstur anti selip dua sisi memberikan kenyamanan dan memungkinkan tingkat kekakuan yang sempurna untuk memberi Anda stabilitas yang Anda butuhkan untuk pose apa pun ☑️ Mat latihan yang tahan lama dan tahan air mata dibangun tanpa phthalate beracun, lateks atau logam berat ☑️ Permukaan sel tertutup mengunci kuman, kotoran, dan kelembaban untuk menjaga bakteri dan bau tak sedap tetap berada di luar. Mudah dibersihkan TIPS MENCUCI ATAU MEMBERSIHKAN MATRAS : ⚠️ Menggunakan tissue basah / di lap dengan kain basah ⚠️ Direndam dengan air sabun / air alkohol(jangan terlalu tinggi) ⚠️ Jangan disikat ⚠️ Dijemur dengan diangin - angin saja jangan langsung terkena matahari NOTE :  Jika barang sampai dan size nya kekecilan atau kebesaran sfidn fits memberikan kesempatan untuk penukaran barang dengan syarat : ☑️ Barang harus masih dalam keadaan bagus dan segel. ☑️ Maksimal barang diretur 3 hari setelah barang sampai. ☑️ Ongkir keseluruhan ditanggung pembeli. ☑️ Mohon untuk hubungi admin via chat untuk konfirmasi alamat penukaran. 💯 Packing Aman Dan Rapih 🕒 Senin - Jumat : Pesanan Yang Masuk Setelah Jam 15.00 Akan Diproses Keesokan Harinya (Jika Sedang Overload Akan Close Pengiriman Lebih Awal) 🕛 Sabtu : Pesanan Yang Masuk Setelah Jam 12.00 Aka"
Quantum Dreambox,"*Free Ongkir Khusus Pengiriman ke Pulau Jawa-Bali Saja, untuk daerah lain bisa tanyakan via chat* Dreambox Trifold Mattress Orthopedic - Kasur Lantai Lipat Tiga Kasur trifold dengan teknologi cool-to-touch! Rasakan sensasi tidur yang berbeda: dingin, nyaman, dan keras. Kasur trifold Dreambox Aircool, lebih keras dan mudah dibawa ke mana saja. Cover dengan teknologi kain cool-to-touch menjaga suhu tubuh tetap sejuk dan nyaman selama tidur. Dengan menggunakan serat sintetis yang memiliki daya hantar panas yang lebih rendah, kain cool-to-touch memberikan sensasi dingin saat disentuh. Menggunakan busa jenis rebounded dengan kepadatan ekstra, menjadikan kasur trifold Dreambox terasa lebih keras dan nyaman. Bisa digunakan untuk berbagai aktivitas, seperti yoga, tidur, santai, dan bahkan cocok untuk dijadikan kasur massage. Didesain lipat tiga, memudahkan untuk dibawa ke mana saja dan mudah disimpan setelah pemakaian. Kasur trifold juga bisa masuk ke dalam mobil SUV Anda untuk dibawa camping dan liburan. Garansi busa hingga 10 tahun dari Quantum Group. Kasur divakum dan dikemas ke dalam box untuk memudahkan pengiriman dan agar mudah dibawa ke kamar Anda. Ketebalan 10cm Tersedia ukuran:  90x200 dengan bonus bantal 1 unit. Catatan: - Produk di-press/vakum ada kemungkinan terjadinya penyusutan sekitar 5-15% terhadap panjang, lebar, dan tebal kasur. - Jangan menyimpan kasur yang diterima selama lebih dari 7 hari agar kasur cepat mengembang optimal. - Kasur akan mengembang optimal dalam waktu sekitar 72 jam. Selama proses mengembang, kasur dapat digunakan. - Disarankan untuk membuat video unboxing saat membuka kemasan agar memudahkan klaim garansi produk atau keluhan lain."
